,product_name,prev_price,curr_price,special_offer,image_url,category,sub-category
106,85667 Nivea Sun Kids Spray Spf50+ 200ml,€ 17.50,€ 16.07,NA,https://www.greens.com.mt/media/products/0144/4005808856671.jpg,Household,Beach Items
107,86086 Nivea Sun Anti Age F/crm 0% Spf50 50ml,€ 15.75,€ 14.46,NA,https://www.greens.com.mt/media/products/0124/4005900475978.jpg,Household,Beach Items
108,9 Lives Cabernet Sauvignon 750ml,€ 8.49,€ 7.98,NA,https://www.greens.com.mt/media/products/1015/7804300139230.jpg,Winecellar,Foreign Wines
109,9 Lives Chardonnay 750ml,€ 8.49,€ 7.98,NA,https://www.greens.com.mt/media/products/1015/7804300150174.jpg,Winecellar,Foreign Wines
110,9 Lives Sauvignon Blanc 750ml,€ 8.49,€ 7.98,NA,https://www.greens.com.mt/media/products/1015/7804300139247.jpg,Winecellar,Foreign Wines
111,94410 Nivea Luminous Anti Dark-spot Day Fluid 40ml,€ 24.99,€ 19.97,NA,https://www.greens.com.mt/media/products/0421/4005900784506.jpg,Personalcare,Body and Facial Care
112,A Modo Mio Cremosamente Dek X16,NA,€ 5.25,NA,https://www.greens.com.mt/media/products/0123/8000070086036.jpg,Groceries,Coffees
113,A Modo Mio Qualita Oro X16,€ 8.19,€ 6.14,NA,https://www.greens.com.mt/media/products/0904/8000070063310.jpg,Groceries,Coffees
114,"A Modo Mio Soavemente, X 16",NA,€ 5.25,NA,https://www.greens.com.mt/media/products/0123/8000070087200.jpg,Groceries,Coffees
115,A&e Fabric Dressing Spool 1.6m,NA,€ 1.65,NA,https://www.greens.com.mt/media/products/1032/5029115011164.jpg,Household,First Aid
116,A&e Fabric Dressings 2for1 5's,NA,€ 1.98,NA,https://www.greens.com.mt/media/products/0832/5029115826171.jpg,Household,First Aid
117,A&e Large Plaster Dressings 10's 10x6x10cm 10pk,NA,€ 1.98,NA,https://www.greens.com.mt/media/products/1002/5029115005477.jpg,Household,First Aid
118,A&e Large Plaster Dressings 5's,NA,€ 1.98,NA,https://www.greens.com.mt/media/products/0932/5029115011287.jpg,Household,First Aid
119,A&e Micropore Tape 6m,NA,€ 1.50,NA,https://www.greens.com.mt/media/products/1013/5029115011201.jpg,Household,First Aid
120,A&e Plasters 20's Clear,NA,€ 1.20,NA,https://www.greens.com.mt/media/products/0115/5029115011126.jpg,Household,First Aid
121,Aa Pastries All Natural Mini Profiteroles 990g,€ 12.00,€ 9.95,NA,https://www.greens.com.mt/media/products/0145/8715635240678.jpg,Frozenfoods,Ice Cream and Desserts
122,Ab St Martin Blonde Bio 33cl,NA,€ 2.88,NA,https://www.greens.com.mt/media/products/0811/5411065403319.jpg,Winecellar,Beers
123,Ab St Martin Brune Bio 33cl,NA,€ 2.98,NA,https://www.greens.com.mt/media/products/0811/5411065403326.jpg,Winecellar,Beers
124,Ab St Martin Triple Bio 33cl,NA,€ 2.98,NA,https://www.greens.com.mt/media/products/0811/5411065210856.jpg,Winecellar,Beers
125,Abadal Merlot 5 75cl,€ 25.00,€ 22.95,NA,https://www.greens.com.mt/media/products/1103/8411106229042.jpg,Winecellar,Foreign Wines
126,Abbey 150 Pop Up Tissues,€ 1.99,€ 1.78,NA,https://www.greens.com.mt/media/products/0143/5359902905209.jpg,Personalcare,Tissues
127,Abbondio Chiara Tonica 275ml,€ 2.60,€ 2.05,NA,https://www.greens.com.mt/media/products/0315/8000003066173.jpg,Beverages,Soft Drinks
128,Abrasado Historic Blend Malbec - Malbec 75cl,€ 17.00,€ 13.95,NA,https://www.greens.com.mt/media/products/0939/7798159948849.jpg,Winecellar,Foreign Wines
129,Abrasado Parcel Blend Malbec 75cl,NA,€ 6.95,NA,https://www.greens.com.mt/media/products/0939/7798159947361.jpg,Winecellar,Foreign Wines
130,Abrasado Terroir Selection Malbec 75cl,€ 13.00,€ 9.95,NA,https://www.greens.com.mt/media/products/0939/7798159947071.jpg,Winecellar,Foreign Wines
131,Abrasive Pads X3,NA,€ 1.10,NA,https://www.greens.com.mt/media/products/0202/5903355000198.jpg,Household,Kitchen Essentials
132,Absolut Kurant 1l,€ 26.15,€ 25.95,NA,https://www.greens.com.mt/media/products/0318/7312040020102.jpg,Winecellar,Spirits
133,Absolut Vanilla 70cl,€ 18.99,€ 18.52,NA,https://www.greens.com.mt/media/products/0151/7312040060702.jpg,Winecellar,Spirits
134,Absolut Vodka 1l,NA,€ 19.45,NA,https://www.greens.com.mt/media/products/0144/7312040017034.jpg,Winecellar,Spirits
135,Absolut Vodka 70cl,NA,€ 15.70,NA,https://www.greens.com.mt/media/products/0144/7312040017683.jpg,Winecellar,Spirits
136,Acana Air Freshener Fridge Odour Absorber Lemon 200g,€ 4.86,€ 4.34,NA,https://www.greens.com.mt/media/products/0115/5060214390750.jpg,Household,Air Freshners
137,Acana Hanging Moth Killer & Freshener Lavender X4,€ 5.72,€ 5.41,NA,https://www.greens.com.mt/media/products/0145/5060214390460.jpg,Household,Air Freshners
138,Acana I Clenz Screen Wipes X 30,€ 4.59,€ 4.11,NA,https://www.greens.com.mt/media/products/0120/5060214391122.jpg,Personalcare,Body and Facial Care
139,Ace Bagno Brill.spray 500ml,NA,€ 2.25,NA,https://www.greens.com.mt/media/products/0901/8001480703148.jpg,Household,Bathroom Cleaning Products
140,Ace Bleach Classic 3l,NA,€ 2.25,NA,https://www.greens.com.mt/media/products/1205/8001480719408.jpg,Household,Floor Wash and Bleach
141,Ace Bleach Degreaser Spray 800ml,€ 3.14,€ 2.99,NA,https://www.greens.com.mt/media/products/0805/8001480709256.jpg,Household,Laundry Detergent
142,Ace Bleach Scented 3l,NA,€ 2.25,NA,https://www.greens.com.mt/media/products/1205/8001480719422.jpg,Household,Floor Wash and Bleach
143,Ace Blue Creamy & Scented 2.5l,NA,€ 2.95,NA,https://www.greens.com.mt/media/products/0315/8001480709102.jpg,Household,Laundry Detergent
